50Traced_NONETRACED_MAX_RAW_LSA_66_RFSMOTE,Associated
0,0
0,0
1,0
0,1
0,0
1,1
0,0
1,0
1,1
0,0
1,0
1,1
1,0
0,0
1,1
0,0
1,1
1,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
0,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
0,0
1,1
0,0
0,0
1,1
0,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,0
1,1
0,0
0,0
0,1
1,1
1,1
0,1
1,0
0,0
1,1
0,0
0,1
0,0
1,0
0,0
1,0
0,0
1,1
0,0
0,1
1,0
1,1
0,0
0,0
0,0
0,0
0,1
1,0
0,1
1,1
0,1
0,0
1,0
0,0
1,0
1,1
1,1
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
1,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,1
1,1
0,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,1
1,0
1,1
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,0
1,1
1,0
1,1
0,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
0,1
1,0
0,0
0,0
1,0
1,1
1,0
1,1
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,0
1,1
0,0
1,1
1,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
0,1
1,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,0
1,0
0,0
0,1
0,0
1,1
0,0
0,1
1,0
0,0
0,0
0,0
1,1
1,0
1,1
0,0
0,0
0,1
1,1
1,1
1,1
1,0
1,0
1,1
1,0
1,1
1,0
0,0
0,0
0,0
0,0
1,1
1,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
1,1
1,0
1,1
0,0
0,0
1,1
1,1
0,1
1,1
0,0
1,0
1,1
0,0
1,1
1,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,1
1,0
1,0
0,0
1,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,1
0,1
0,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
1,1
1,1
0,0
1,0
0,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
0,1
1,1
0,0
0,0
1,1
1,0
1,1
1,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
0,0
1,1
1,1
0,1
0,0
1,0
0,0
1,0
1,1
1,1
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,1
0,0
0,1
0,0
1,1
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
1,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
1,1
1,1
0,0
1,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
1,0
0,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,1
1,1
0,1
0,1
0,0
0,1
1,0
