UPPERTRACED_RFNONE_SINGLE_VSM,Associated
0.5671190476190477,YES
0.11,NO
0.540452380952381,YES
0.17,NO
0.33,NO
0.31,NO
0.04,NO
0.31,YES
0.22,NO
0.23,YES
0.06,NO
0.06,NO
0.11,NO
0.41,NO
0.28,NO
0.21,NO
0.16,NO
0.01,NO
0.08,NO
0.5071190476190476,YES
0.22,NO
0.421952380952381,YES
0.05,NO
0.08,NO
0.0,NO
0.03,NO
0.35,NO
0.02,NO
0.21,NO
0.03,NO
0.3,NO
0.5371190476190476,YES
0.4771190476190476,YES
0.4671190476190476,YES
0.426952380952381,YES
0.11,NO
0.4518809523809524,YES
0.17,NO
0.02,NO
0.02,NO
0.18,YES
0.4871190476190476,YES
0.5671190476190477,YES
0.35,YES
0.09,NO
0.01,NO
0.23,YES
0.04,NO
0.26,YES
0.04,NO
0.04,NO
0.17,NO
0.12,NO
0.0,NO
0.5271190476190476,YES
0.0,NO
0.5671190476190477,YES
0.11,NO
0.540452380952381,YES
0.17,NO
0.33,NO
0.31,NO
0.04,NO
0.31,YES
0.22,NO
0.23,YES
0.06,NO
0.06,NO
0.11,NO
0.41,NO
0.28,NO
0.21,NO
0.16,NO
0.01,NO
0.08,NO
0.5071190476190476,YES
0.22,NO
0.421952380952381,YES
0.05,NO
0.08,NO
0.0,NO
0.03,NO
0.35,NO
0.02,NO
0.21,NO
0.03,NO
0.3,NO
0.5371190476190476,YES
0.4771190476190476,YES
0.4671190476190476,YES
0.426952380952381,YES
0.11,NO
0.4518809523809524,YES
0.17,NO
0.06,NO
0.06,NO
0.11,NO
0.41,NO
0.28,NO
0.21,NO
0.16,NO
0.01,NO
0.08,NO
0.5071190476190476,YES
0.22,NO
0.421952380952381,YES
0.05,NO
0.08,NO
0.0,NO
0.03,NO
0.35,NO
0.02,NO
0.21,NO
0.03,NO
0.3,NO
0.5371190476190476,YES
0.4771190476190476,YES
0.4671190476190476,YES
0.426952380952381,YES
0.11,NO
0.4518809523809524,YES
0.17,NO
0.06,NO
0.06,NO
0.11,NO
0.41,NO
0.28,NO
0.21,NO
0.16,NO
0.01,NO
0.08,NO
0.5071190476190476,YES
0.22,NO
0.421952380952381,YES
0.05,NO
0.08,NO
0.0,NO
0.03,NO
0.35,NO
0.02,NO
0.21,NO
0.03,NO
0.3,NO
0.5371190476190476,YES
0.4771190476190476,YES
0.4671190476190476,YES
0.426952380952381,YES
0.11,NO
0.4518809523809524,YES
0.17,NO
0.06,NO
0.06,NO
0.11,NO
0.41,NO
0.28,NO
0.21,NO
0.16,NO
0.01,NO
0.08,NO
0.5071190476190476,YES
0.22,NO
0.421952380952381,YES
0.05,NO
0.08,NO
0.0,NO
0.03,NO
0.35,NO
0.02,NO
0.21,NO
0.03,NO
0.3,NO
0.5371190476190476,YES
0.4771190476190476,YES
0.4671190476190476,YES
0.426952380952381,YES
0.11,NO
0.4518809523809524,YES
0.17,NO
0.1,NO
0.3,NO
0.500452380952381,YES
0.24,YES
0.22,YES
0.5071190476190476,YES
0.44,NO
0.05,NO
0.5271190476190476,YES
0.06,NO
0.5171190476190476,YES
0.05,NO
0.41,NO
0.28,NO
0.23,NO
0.04,NO
0.38,YES
0.03,NO
0.47,YES
0.37,NO
0.38,YES
0.16,NO
0.14,NO
0.39,NO
0.39,NO
0.4871190476190476,YES
0.36,NO
0.5271190476190476,YES
0.05,NO
0.12,NO
0.02,YES
0.01,NO
0.08,NO
0.3833095238095238,YES
0.17,NO
0.0,NO
0.3633095238095238,YES
0.0,NO
0.29,YES
0.0,NO
0.21,NO
0.13,NO
0.03,NO
0.02,NO
0.08,NO
0.05,NO
0.02,NO
0.04,NO
0.09,NO
0.01,NO
0.01,NO
0.11,NO
0.1,NO
0.3633333333333333,YES
0.1,NO
0.3254523809523809,YES
0.02,NO
0.02,NO
0.18,YES
0.4871190476190476,YES
0.5671190476190477,YES
0.35,YES
0.09,NO
0.01,NO
0.23,YES
0.04,NO
0.26,YES
0.04,NO
0.04,NO
0.17,NO
0.12,NO
0.0,NO
0.5271190476190476,YES
0.0,NO
0.5671190476190477,YES
0.11,NO
0.540452380952381,YES
0.17,NO
0.33,NO
0.31,NO
0.04,NO
0.31,YES
0.22,NO
0.23,YES
0.02,NO
0.03,NO
0.15,YES
0.02,NO
0.03,NO
0.17,YES
0.02,NO
0.02,NO
0.41,YES
0.0,NO
0.3633095238095238,YES
0.01,NO
0.1,NO
0.03,NO
0.0,NO
0.01,NO
0.12,NO
0.01,NO
0.14,NO
0.02,NO
0.03,NO
0.0,NO
0.0,NO
0.17,NO
0.15,NO
0.09,YES
0.2,NO
0.33330952380952383,YES
0.02,NO
0.02,NO
0.18,YES
0.4871190476190476,YES
0.5671190476190477,YES
0.35,YES
0.09,NO
0.01,NO
0.23,YES
0.04,NO
0.26,YES
0.04,NO
0.04,NO
0.17,NO
0.12,NO
0.0,NO
0.5271190476190476,YES
0.0,NO
0.5671190476190477,YES
0.11,NO
0.540452380952381,YES
0.17,NO
0.33,NO
0.31,NO
0.04,NO
0.31,YES
0.22,NO
0.23,YES
0.3818809523809524,YES
0.2254523809523809,YES
0.02,NO
0.03,NO
0.0,NO
0.0,NO
0.26773809523809516,YES
0.33330952380952383,YES
0.0,NO
0.125,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.02,NO
0.3113095238095237,YES
0.01,NO
0.438547619047619,YES
0.1,NO
0.4771190476190476,YES
0.01,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.05,NO
0.1,NO
0.3,NO
0.500452380952381,YES
0.24,YES
0.22,YES
0.5071190476190476,YES
0.44,NO
0.05,NO
0.5271190476190476,YES
0.06,NO
0.5171190476190476,YES
0.05,NO
0.41,NO
0.28,NO
0.23,NO
0.04,NO
0.38,YES
0.03,NO
0.47,YES
0.37,NO
0.38,YES
0.16,NO
0.14,NO
0.39,NO
0.39,NO
0.4871190476190476,YES
0.36,NO
0.5271190476190476,YES
0.1,NO
0.3,NO
0.500452380952381,YES
0.24,YES
0.22,YES
0.5071190476190476,YES
0.44,NO
0.05,NO
0.5271190476190476,YES
0.06,NO
0.5171190476190476,YES
0.05,NO
0.41,NO
0.28,NO
0.23,NO
0.04,NO
0.38,YES
0.03,NO
0.47,YES
0.37,NO
0.38,YES
0.16,NO
0.14,NO
0.39,NO
0.39,NO
0.4871190476190476,YES
0.36,NO
0.5271190476190476,YES
0.1,NO
0.3,NO
0.500452380952381,YES
0.24,YES
0.22,YES
0.5071190476190476,YES
0.44,NO
0.05,NO
0.5271190476190476,YES
0.06,NO
0.5171190476190476,YES
0.05,NO
0.41,NO
0.28,NO
0.23,NO
0.04,NO
0.38,YES
0.03,NO
0.47,YES
0.37,NO
0.38,YES
0.16,NO
0.14,NO
0.39,NO
0.39,NO
0.4871190476190476,YES
0.36,NO
0.5271190476190476,YES
0.1,NO
0.3,NO
0.500452380952381,YES
0.24,YES
0.22,YES
0.5071190476190476,YES
0.44,NO
0.05,NO
0.5271190476190476,YES
0.06,NO
0.5171190476190476,YES
0.05,NO
0.41,NO
0.28,NO
0.23,NO
0.04,NO
0.38,YES
0.03,NO
0.47,YES
0.37,NO
0.38,YES
0.16,NO
0.14,NO
0.39,NO
0.39,NO
0.4871190476190476,YES
0.36,NO
0.5271190476190476,YES
0.02,NO
0.02,NO
0.18,YES
0.4871190476190476,YES
0.5671190476190477,YES
0.35,YES
0.09,NO
0.01,NO
0.23,YES
0.04,NO
0.26,YES
0.04,NO
0.04,NO
0.17,NO
0.12,NO
0.0,NO
0.5271190476190476,YES
0.0,NO
0.5671190476190477,YES
0.11,NO
0.540452380952381,YES
0.17,NO
0.33,NO
0.31,NO
0.04,NO
0.31,YES
0.22,NO
0.23,YES
0.02,NO
0.02,NO
0.18,YES
0.4871190476190476,YES
0.5671190476190477,YES
0.35,YES
0.09,NO
0.01,NO
0.23,YES
0.04,NO
0.26,YES
0.04,NO
0.04,NO
0.17,NO
0.12,NO
0.0,NO
0.5271190476190476,YES
0.0,NO
0.5671190476190477,YES
0.11,NO
0.540452380952381,YES
0.17,NO
0.33,NO
0.31,NO
0.04,NO
0.31,YES
0.22,NO
0.23,YES
0.06,NO
0.01,NO
0.04,NO
0.03,NO
0.02,NO
0.0,NO
0.07,NO
0.02,NO
0.1,NO
0.04,NO
0.12,NO
0.01,NO
0.33330952380952383,YES
0.3633095238095238,YES
0.3633095238095238,YES
0.0,NO
0.13,NO
0.0,NO
0.0,NO
0.15,NO
0.01,NO
0.01,NO
0.02,NO
0.01,NO
0.05,NO
0.02,NO
0.01,NO
0.09,NO
0.3818809523809524,YES
0.2254523809523809,YES
0.02,NO
0.03,NO
0.0,NO
0.0,NO
0.26773809523809516,YES
0.33330952380952383,YES
0.0,NO
0.125,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.02,NO
0.3113095238095237,YES
0.01,NO
0.438547619047619,YES
0.1,NO
0.4771190476190476,YES
0.01,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.05,NO
0.02,NO
0.02,NO
0.18,YES
0.4871190476190476,YES
0.5671190476190477,YES
0.35,YES
0.09,NO
0.01,NO
0.23,YES
0.04,NO
0.26,YES
0.04,NO
0.04,NO
0.17,NO
0.12,NO
0.0,NO
0.5271190476190476,YES
0.0,NO
0.5671190476190477,YES
0.11,NO
0.540452380952381,YES
0.17,NO
0.33,NO
0.31,NO
0.04,NO
0.31,YES
0.22,NO
0.23,YES
0.3818809523809524,YES
0.2254523809523809,YES
0.02,NO
0.03,NO
0.0,NO
0.0,NO
0.26773809523809516,YES
0.33330952380952383,YES
0.0,NO
0.125,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.02,NO
0.3113095238095237,YES
0.01,NO
0.438547619047619,YES
0.1,NO
0.4771190476190476,YES
0.01,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.05,NO
0.06,NO
0.06,NO
0.11,NO
0.41,NO
0.28,NO
0.21,NO
0.16,NO
0.01,NO
0.08,NO
0.5071190476190476,YES
0.22,NO
0.421952380952381,YES
0.05,NO
0.08,NO
0.0,NO
0.03,NO
0.35,NO
0.02,NO
0.21,NO
0.03,NO
0.3,NO
0.5371190476190476,YES
0.4771190476190476,YES
0.4671190476190476,YES
0.426952380952381,YES
0.11,NO
0.4518809523809524,YES
0.17,NO
0.3818809523809524,YES
0.2254523809523809,YES
0.02,NO
0.03,NO
0.0,NO
0.0,NO
0.26773809523809516,YES
0.33330952380952383,YES
0.0,NO
0.125,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.02,NO
0.3113095238095237,YES
0.01,NO
0.438547619047619,YES
0.1,NO
0.4771190476190476,YES
0.01,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.05,NO
0.06,NO
0.06,NO
0.11,NO
0.41,NO
0.28,NO
0.21,NO
0.16,NO
0.01,NO
0.08,NO
0.5071190476190476,YES
0.22,NO
0.421952380952381,YES
0.05,NO
0.08,NO
0.0,NO
0.03,NO
0.35,NO
0.02,NO
0.21,NO
0.03,NO
0.3,NO
0.5371190476190476,YES
0.4771190476190476,YES
0.4671190476190476,YES
0.426952380952381,YES
0.11,NO
0.4518809523809524,YES
0.17,NO
