UPPERTRACED_RFSMOTE_RAW_VSM,Associated
0.74,NO
0.73,NO
0.69,NO
0.83,NO
0.87,NO
0.56,YES
0.56,YES
0.56,YES
0.82,YES
0.82,NO
0.78,YES
0.7,NO
0.59,NO
0.61,NO
0.67,NO
0.77,NO
0.64,NO
0.83,NO
0.82,NO
0.47,NO
0.81,NO
0.56,YES
0.71,NO
0.82,YES
0.71,NO
0.66,NO
0.19,NO
0.74,NO
0.74,NO
0.73,NO
0.69,NO
0.83,NO
0.87,NO
0.56,YES
0.56,YES
0.56,YES
0.82,YES
0.82,NO
0.78,YES
0.7,NO
0.59,NO
0.61,NO
0.67,NO
0.77,NO
0.64,NO
0.83,NO
0.82,NO
0.47,NO
0.81,NO
0.56,YES
0.71,NO
0.82,YES
0.71,NO
0.66,NO
0.19,NO
0.74,NO
0.74,NO
0.73,NO
0.69,NO
0.83,NO
0.87,NO
0.56,YES
0.56,YES
0.56,YES
0.82,YES
0.82,NO
0.78,YES
0.7,NO
0.59,NO
0.61,NO
0.67,NO
0.77,NO
0.64,NO
0.83,NO
0.82,NO
0.47,NO
0.81,NO
0.56,YES
0.71,NO
0.82,YES
0.71,NO
0.66,NO
0.19,NO
0.74,NO
0.74,NO
0.73,NO
0.69,NO
0.83,NO
0.87,NO
0.56,YES
0.56,YES
0.56,YES
0.82,YES
0.82,NO
0.78,YES
0.7,NO
0.59,NO
0.72,NO
0.69,YES
0.7,YES
0.59,YES
0.56,YES
0.64,NO
0.75,NO
0.56,YES
0.72,NO
0.98,YES
0.72,NO
0.81,NO
0.85,NO
0.65,NO
0.68,NO
0.81,YES
0.67,NO
0.98,YES
0.64,NO
0.81,YES
0.67,NO
0.87,NO
0.97,NO
0.7,NO
0.79,YES
0.95,NO
0.96,YES
0.56,NO
0.39,NO
0.89,YES
0.65,NO
0.77,NO
0.55,YES
0.7,NO
0.2,NO
0.55,YES
0.76,NO
0.9,YES
0.73,NO
0.77,NO
0.88,NO
0.78,NO
0.78,NO
0.62,NO
0.38,NO
0.91,NO
0.12,NO
0.74,NO
0.81,NO
0.53,NO
0.88,NO
0.75,NO
0.95,YES
0.86,NO
0.92,YES
0.61,NO
0.38,NO
0.78,YES
0.6,YES
0.97,YES
0.95,YES
0.6,NO
0.38,NO
0.82,YES
0.69,NO
0.79,YES
0.7,NO
0.71,NO
0.77,NO
0.78,NO
0.8,NO
0.97,YES
0.84,NO
0.71,YES
0.76,NO
0.72,YES
0.63,NO
0.84,NO
0.83,NO
0.67,NO
0.76,YES
0.73,NO
0.8,YES
0.61,NO
0.37,NO
0.99,YES
0.86,NO
0.79,NO
1.0,YES
0.57,NO
0.34,NO
0.55,YES
0.79,NO
0.99,YES
0.36,NO
0.78,NO
0.8,NO
0.85,NO
0.12,NO
0.58,NO
0.11,NO
0.94,NO
0.07,NO
0.61,NO
0.81,NO
0.78,NO
0.84,NO
0.71,NO
0.94,YES
0.9,NO
1.0,YES
0.61,NO
0.38,NO
0.78,YES
0.6,YES
0.97,YES
0.95,YES
0.6,NO
0.38,NO
0.82,YES
0.69,NO
0.79,YES
0.7,NO
0.71,NO
0.77,NO
0.78,NO
0.8,NO
0.97,YES
0.84,NO
0.71,YES
0.76,NO
0.72,YES
0.63,NO
0.84,NO
0.83,NO
0.67,NO
0.76,YES
0.73,NO
0.8,YES
0.52,YES
0.59,YES
0.72,NO
0.88,NO
0.59,NO
0.85,NO
0.63,YES
0.77,YES
0.32,NO
0.74,NO
0.17,NO
0.33,NO
0.74,NO
0.65,NO
0.07,NO
0.49,YES
0.83,NO
0.52,YES
0.14,NO
0.96,YES
0.78,NO
0.54,NO
0.83,NO
0.6,NO
0.23,NO
0.84,NO
0.74,NO
0.62,NO
0.59,NO
0.72,NO
0.69,YES
0.7,YES
0.59,YES
0.56,YES
0.64,NO
0.75,NO
0.56,YES
0.72,NO
0.98,YES
0.72,NO
0.81,NO
0.85,NO
0.65,NO
0.68,NO
0.81,YES
0.67,NO
0.98,YES
0.64,NO
0.81,YES
0.67,NO
0.87,NO
0.97,NO
0.7,NO
0.79,YES
0.95,NO
0.96,YES
0.59,NO
0.72,NO
0.69,YES
0.7,YES
0.59,YES
0.56,YES
0.64,NO
0.75,NO
0.56,YES
0.72,NO
0.98,YES
0.72,NO
0.81,NO
0.85,NO
0.65,NO
0.68,NO
0.81,YES
0.67,NO
0.98,YES
0.64,NO
0.81,YES
0.67,NO
0.87,NO
0.97,NO
0.7,NO
0.79,YES
0.95,NO
0.96,YES
0.59,NO
0.72,NO
0.69,YES
0.7,YES
0.59,YES
0.56,YES
0.64,NO
0.75,NO
0.56,YES
0.72,NO
0.98,YES
0.72,NO
0.81,NO
0.85,NO
0.65,NO
0.68,NO
0.81,YES
0.67,NO
0.98,YES
0.64,NO
0.81,YES
0.67,NO
0.87,NO
0.97,NO
0.7,NO
0.79,YES
0.95,NO
0.96,YES
0.59,NO
0.72,NO
0.69,YES
0.7,YES
0.59,YES
0.56,YES
0.64,NO
0.75,NO
0.56,YES
0.72,NO
0.98,YES
0.72,NO
0.81,NO
0.85,NO
0.65,NO
0.68,NO
0.81,YES
0.67,NO
0.98,YES
0.64,NO
0.81,YES
0.67,NO
0.87,NO
0.97,NO
0.7,NO
0.79,YES
0.95,NO
0.96,YES
0.61,NO
0.38,NO
0.78,YES
0.6,YES
0.97,YES
0.95,YES
0.6,NO
0.38,NO
0.82,YES
0.69,NO
0.79,YES
0.7,NO
0.71,NO
0.77,NO
0.78,NO
0.8,NO
0.97,YES
0.84,NO
0.71,YES
0.76,NO
0.72,YES
0.63,NO
0.84,NO
0.83,NO
0.67,NO
0.76,YES
0.73,NO
0.8,YES
0.61,NO
0.38,NO
0.78,YES
0.6,YES
0.97,YES
0.95,YES
0.6,NO
0.38,NO
0.82,YES
0.69,NO
0.79,YES
0.7,NO
0.71,NO
0.77,NO
0.78,NO
0.8,NO
0.97,YES
0.84,NO
0.71,YES
0.76,NO
0.72,YES
0.63,NO
0.84,NO
0.83,NO
0.67,NO
0.76,YES
0.73,NO
0.8,YES
0.95,NO
0.62,NO
0.68,NO
0.76,NO
0.61,NO
1.0,NO
0.81,NO
0.25,NO
1.0,NO
0.89,NO
0.51,NO
0.73,NO
0.55,YES
0.73,YES
1.0,YES
0.75,NO
0.8,NO
0.51,NO
0.95,NO
0.78,NO
0.77,NO
0.5,NO
0.69,NO
0.96,NO
0.93,NO
0.68,NO
0.84,NO
0.91,NO
0.52,YES
0.59,YES
0.72,NO
0.88,NO
0.59,NO
0.85,NO
0.63,YES
0.77,YES
0.32,NO
0.74,NO
0.17,NO
0.33,NO
0.74,NO
0.65,NO
0.07,NO
0.49,YES
0.83,NO
0.52,YES
0.14,NO
0.96,YES
0.78,NO
0.54,NO
0.83,NO
0.6,NO
0.23,NO
0.84,NO
0.74,NO
0.62,NO
0.61,NO
0.38,NO
0.78,YES
0.6,YES
0.97,YES
0.95,YES
0.6,NO
0.38,NO
0.82,YES
0.69,NO
0.79,YES
0.7,NO
0.71,NO
0.77,NO
0.78,NO
0.8,NO
0.97,YES
0.84,NO
0.71,YES
0.76,NO
0.72,YES
0.63,NO
0.84,NO
0.83,NO
0.67,NO
0.76,YES
0.73,NO
0.8,YES
0.52,YES
0.59,YES
0.72,NO
0.88,NO
0.59,NO
0.85,NO
0.63,YES
0.77,YES
0.32,NO
0.74,NO
0.17,NO
0.33,NO
0.74,NO
0.65,NO
0.07,NO
0.49,YES
0.83,NO
0.52,YES
0.14,NO
0.96,YES
0.78,NO
0.54,NO
0.83,NO
0.6,NO
0.23,NO
0.84,NO
0.74,NO
0.62,NO
0.59,NO
0.61,NO
0.67,NO
0.77,NO
0.64,NO
0.83,NO
0.82,NO
0.47,NO
0.81,NO
0.56,YES
0.71,NO
0.82,YES
0.71,NO
0.66,NO
0.19,NO
0.74,NO
0.74,NO
0.73,NO
0.69,NO
0.83,NO
0.87,NO
0.56,YES
0.56,YES
0.56,YES
0.82,YES
0.82,NO
0.78,YES
0.7,NO
0.52,YES
0.59,YES
0.72,NO
0.88,NO
0.59,NO
0.85,NO
0.63,YES
0.77,YES
0.32,NO
0.74,NO
0.17,NO
0.33,NO
0.74,NO
0.65,NO
0.07,NO
0.49,YES
0.83,NO
0.52,YES
0.14,NO
0.96,YES
0.78,NO
0.54,NO
0.83,NO
0.6,NO
0.23,NO
0.84,NO
0.74,NO
0.62,NO
0.59,NO
0.61,NO
0.67,NO
0.77,NO
0.64,NO
0.83,NO
0.82,NO
0.47,NO
0.81,NO
0.56,YES
0.71,NO
0.82,YES
0.71,NO
0.66,NO
0.19,NO
0.74,NO
0.74,NO
0.73,NO
0.69,NO
0.83,NO
0.87,NO
0.56,YES
0.56,YES
0.56,YES
0.82,YES
0.82,NO
0.78,YES
0.7,NO
