ALLTRACED_SUM_MULTI_VSM_RFUNDER,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
